pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
129310,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1620PE,PE,HDFCAMC23APR1620PE,,4244,,,,,,5,300,1367073000,-1,2,162000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,45,Physical,,0,1,12001,300,3300,345,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129311,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1640CE,CE,HDFCAMC23APR1640CE,,4244,,,,,,5,300,1367073000,-1,2,164000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,17455,Physical,,0,1,12001,300,1200,29580,5330,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129312,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1640PE,PE,HDFCAMC23APR1640PE,,4244,,,,,,5,300,1367073000,-1,2,164000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,85,Physical,,0,1,12001,300,22200,385,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129313,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1660CE,CE,HDFCAMC23APR1660CE,,4244,,,,,,5,300,1367073000,-1,2,166000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,15530,Physical,,0,1,12001,300,8100,27455,3605,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129314,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1660PE,PE,HDFCAMC23APR1660PE,,4244,,,,,,5,300,1367073000,-1,2,166000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,155,Physical,,0,1,12001,300,19200,650,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129315,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1680CE,CE,HDFCAMC23APR1680CE,,4244,,,,,,5,300,1367073000,-1,2,168000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,13650,Physical,,0,1,12001,300,10800,25270,2030,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129316,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1680PE,PE,HDFCAMC23APR1680PE,,4244,,,,,,5,300,1367073000,-1,2,168000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,270,Physical,,0,1,12001,300,14400,1070,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129317,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1700CE,CE,HDFCAMC23APR1700CE,,4244,,,,,,5,300,1367073000,-1,2,170000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,11435,Physical,,0,1,12001,300,39000,22625,245,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129318,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1700PE,PE,HDFCAMC23APR1700PE,,4244,,,,,,5,300,1367073000,-1,2,170000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,260,Physical,,0,1,12001,300,106500,1490,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129319,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1720CE,CE,HDFCAMC23APR1720CE,,4244,,,,,,5,300,1367073000,-1,2,172000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,10095,Physical,,0,1,12001,300,6900,20720,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129320,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1720PE,PE,HDFCAMC23APR1720PE,,4244,,,,,,5,300,1367073000,-1,2,172000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,710,Physical,,0,1,12001,300,21900,2505,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129321,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1740CE,CE,HDFCAMC23APR1740CE,,4244,,,,,,5,300,1367073000,-1,2,174000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,7515,Physical,,0,1,12001,300,17700,17430,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129322,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1740PE,PE,HDFCAMC23APR1740PE,,4244,,,,,,5,300,1367073000,-1,2,174000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,540,Physical,,0,1,12001,300,21000,3045,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129323,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1760CE,CE,HDFCAMC23APR1760CE,,4244,,,,,,5,300,1367073000,-1,2,176000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,6970,Physical,,0,1,12001,300,29100,16035,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129324,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1760PE,PE,HDFCAMC23APR1760PE,,4244,,,,,,5,300,1367073000,-1,2,176000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,890,Physical,,0,1,12001,300,37500,4245,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129325,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1780CE,CE,HDFCAMC23APR1780CE,,4244,,,,,,5,300,1367073000,-1,2,178000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,4490,Physical,,0,1,12001,300,8100,12600,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129326,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1780PE,PE,HDFCAMC23APR1780PE,,4244,,,,,,5,300,1367073000,-1,2,178000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,1305,Physical,,0,1,12001,300,15000,5615,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129327,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1800CE,CE,HDFCAMC23APR1800CE,,4244,,,,,,5,300,1367073000,-1,2,180000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,3220,Physical,,0,1,12001,300,122400,10300,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129328,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1800PE,PE,HDFCAMC23APR1800PE,,4244,,,,,,5,300,1367073000,-1,2,180000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,2050,Physical,,0,1,12001,300,79200,7390,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129329,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1820CE,CE,HDFCAMC23APR1820CE,,4244,,,,,,5,300,1367073000,-1,2,182000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,2160,Physical,,0,1,12001,300,31200,8180,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
53032 72263,XX,nse_fo,FUTSTK,NESTLEIND,NESTLEIND27APR2325MAY23FUT,XX,,,,,,,,SP,5,40,1367073000,-1,2,-1,,FUTSTK,1367073000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061385,,,0,1,0,40,0,51535,-51535,1,1,1,0,0,1,0,-1,0,0,1201
129330,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1820PE,PE,HDFCAMC23APR1820PE,,4244,,,,,,5,300,1367073000,-1,2,182000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,4030,Physical,,0,1,12001,300,5100,10430,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129331,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1840CE,CE,HDFCAMC23APR1840CE,,4244,,,,,,5,300,1367073000,-1,2,184000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,1415,Physical,,0,1,12001,300,51000,6395,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129332,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1840PE,PE,HDFCAMC23APR1840PE,,4244,,,,,,5,300,1367073000,-1,2,184000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,4265,Physical,,0,1,12001,300,1500,11705,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129333,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1860CE,CE,HDFCAMC23APR1860CE,,4244,,,,,,5,300,1367073000,-1,2,186000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,895,Physical,,0,1,12001,300,57900,4900,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129334,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1860PE,PE,HDFCAMC23APR1860PE,,4244,,,,,,5,300,1367073000,-1,2,186000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,5735,Physical,,0,1,12001,300,300,14150,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129335,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1880CE,CE,HDFCAMC23APR1880CE,,4244,,,,,,5,300,1367073000,-1,2,188000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,1370,Physical,,0,1,12001,300,29100,4495,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129336,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1880PE,PE,HDFCAMC23APR1880PE,,4244,,,,,,5,300,1367073000,-1,2,188000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,7955,Physical,,0,1,12001,300,0,17250,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129337,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1900CE,CE,HDFCAMC23APR1900CE,,4244,,,,,,5,300,1367073000,-1,2,190000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,505,Physical,,0,1,12001,300,222000,2875,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129338,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1900PE,PE,HDFCAMC23APR1900PE,,4244,,,,,,5,300,1367073000,-1,2,190000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,9545,Physical,,0,1,12001,300,51600,19595,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129339,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1920CE,CE,HDFCAMC23APR1920CE,,4244,,,,,,5,300,1367073000,-1,2,192000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,655,Physical,,0,1,12001,300,600,2400,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129340,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1920PE,PE,HDFCAMC23APR1920PE,,4244,,,,,,5,300,1367073000,-1,2,192000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,11235,Physical,,0,1,12001,300,0,21910,560,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129341,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1940CE,CE,HDFCAMC23APR1940CE,,4244,,,,,,5,300,1367073000,-1,2,194000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,435,Physical,,0,1,12001,300,18300,1680,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129342,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1940PE,PE,HDFCAMC23APR1940PE,,4244,,,,,,5,300,1367073000,-1,2,194000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,13015,Physical,,0,1,12001,300,300,24190,1840,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129343,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1960CE,CE,HDFCAMC23APR1960CE,,4244,,,,,,5,300,1367073000,-1,2,196000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,285,Physical,,0,1,12001,300,6900,1150,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129344,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1960PE,PE,HDFCAMC23APR1960PE,,4244,,,,,,5,300,1367073000,-1,2,196000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,14855,Physical,,0,1,12001,300,300,26410,3300,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129345,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1980CE,CE,HDFCAMC23APR1980CE,,4244,,,,,,5,300,1367073000,-1,2,198000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,180,Physical,,0,1,12001,300,0,760,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129346,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1980PE,PE,HDFCAMC23APR1980PE,,4244,,,,,,5,300,1367073000,-1,2,198000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,16750,Physical,,0,1,12001,300,0,28590,4910,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129347,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR2000CE,CE,HDFCAMC23APR2000CE,,4244,,,,,,5,300,1367073000,-1,2,200000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,150,Physical,,0,1,12001,300,72900,530,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129348,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR2000PE,PE,HDFCAMC23APR2000PE,,4244,,,,,,5,300,1367073000,-1,2,200000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,18680,Physical,,0,1,12001,300,17400,30720,6640,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129349,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR2020CE,CE,HDFCAMC23APR2020CE,,4244,,,,,,5,300,1367073000,-1,2,202000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,65,Physical,,0,1,12001,300,300,365,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129350,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR2020PE,PE,HDFCAMC23APR2020PE,,4244,,,,,,5,300,1367073000,-1,2,202000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,20630,Physical,,0,1,12001,300,0,32810,8450,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129351,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR2040CE,CE,HDFCAMC23APR2040CE,,4244,,,,,,5,300,1367073000,-1,2,204000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,40,Physical,,0,1,12001,300,300,340,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129352,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR2040PE,PE,HDFCAMC23APR2040PE,,4244,,,,,,5,300,1367073000,-1,2,204000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,22600,Physical,,0,1,12001,300,0,34870,10330,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129353,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR2060CE,CE,HDFCAMC23APR2060CE,,4244,,,,,,5,300,1367073000,-1,2,206000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,25,Physical,,0,1,12001,300,0,325,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129354,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR2060PE,PE,HDFCAMC23APR2060PE,,4244,,,,,,5,300,1367073000,-1,2,206000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,24580,Physical,,0,1,12001,300,0,36910,12250,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
